tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
;;;CUMPLE REQUISITOS;;(110110248001) DESPACHO 001 DE LA SALA ESPECIAL DE PRIMERA INSTANCIA DE LA SALA PENAL DE LA CORTE SUPREMA DE JUSTICIA
;;;CUMPLE REQUISITOS;;(110110326001) DESPACHO 001 DE LA SECCION TERCERA DEL CONSEJO DE ESTADO
;;;DECLARA INCUMPLIMIENTO AL ACUERDO DE NEGOCIACION DE DEUDAS;;(130013187001) JUZGADO 001 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE CARTAGENA
;;;DECLARA TERMINADO CONTRATO DE LEASING Y ORDENA RESTITUCION;;(110110306001) DESPACHO 001 DE LA SALA DE CONSULTA Y SERVICIO CIVIL DEL CONSEJO DE ESTADO
;;;DECRETA INCUMPLIMIENTO ACUERDO Y APERTURA A LIQUIDACION JUDICIAL;;(110012221001) DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;DECRETA PRUEBAS;;(130013185001) JUZGADO 001 DE MENORES DE CARTAGENA
;;;DEMANDA PRESENTADA 1;;(110014009001) JUZGADO 001 PENAL MUNICIPAL CON FUNCION DE CONOCIMIENTO DE BOGOTA
;;;DEMANDA PRESENTADA 2;;(110014023001) JUZGADO 001 CIVIL MUNICIPAL DE MENOR CUANTIA DE BOGOTA
;;;DEMANDA PRESENTADA 1;;(110012220001) DESPACHO 001 DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;DEMANDA PRESENTADA 2;;(110110324001) DESPACHO 001 DE LA SECCION PRIMERA DEL CONSEJO DE ESTADO
;;;DENUNCIA INCUMPLIMIENTO DE ACUERDO DE REORGANIZACION;;(110014022001) JUZGADO 001 CIVIL MUNICIPAL DE MINIMA CUANTIA DE BOGOTA
;;;DEVUELVEN TRAMITE A CENTRO DE CONCILIACION;;(130013121001) JUZGADO 001 CIVIL DEL CIRCUITO ESPECIALIZADO EN RESTITUCION DE TIERRAS DE CARTAGENA
;;;ELABORACION DE DEMANDA;;(110014004001) JUZGADO 001 PENAL MUNICIPAL DE BOGOTA
;;;ELABORACION DE DEMANDA;;(110110325001) DESPACHO 001 DE LA SECCION SEGUNDA DEL CONSEJO DE ESTADO
;;;ACUERDO DE NEGOCIACION DE DEUDAS;;(130013118001) JUZGADO 001 PENAL DE CIRCUITO PARA ADOLESCENTES CON FUNCION DE CONOCIMIENTO DE CARTAGENA
;;;ENTREGA DEL BIEN;;(110012219001) DESPACHO 001 DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;ENTREGA VOLUNTARIA DEL VEHICULO;;(110012210001) DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;FORMULACION DE OBJECIONES A LA GRADUACION Y CALIFICACION DE CREDITOS;;(110110247001) DESPACHO 001 DE LA SALA ESPECIAL DE INSTRUCCION DE LA SALA PENAL DE LA CORTE SUPREMA DE JUSTICIA
;;;FORMULACION DE OBJECIONES AL ACUERDO PRIVADO;;(110012334001) DESPACHO 001 DE LA SECCION PRIMERA DEL TRIBUNAL ADMINISTRATIVO DE BOGOTA
;;;INADMITE;;(110110327001) DESPACHO 001 DE LA SECCION CUARTA DEL CONSEJO DE ESTADO
;;;INADMITE;;(130013110001) JUZGADO 001 DE FAMILIA DE CARTAGENA
;;;INADMITE;;(110110400001) DESPACHO 001 DE LA CORTE CONSTITUCIONAL
;;;INVESTIGACION DE BIENES;;(110012502001) DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE BOGOTA
;;;LIQUIDACION DE COSTAS;;(110013103001) JUZGADO 001 CIVIL DEL CIRCUITO DE BOGOTA
;;;LIQUIDACION DE COSTAS;;(110014078001) JUZGADO 001 PENAL PARA ADOLESCENTES CON FUNCION DE PEQUENAS CAUSAS DE BOGOTA
;;;LIQUIDACION DEL CREDITO;;(110110205001) DESPACHO 001 DE LA SALA DE CASACION LABORAL DE LA CORTE SUPREMA DE JUSTICIA
;;;MANDAMIENTO DE PAGO;;(110110328001) DESPACHO 001 DE LA SECCION QUINTA DEL CONSEJO DE ESTADO
;;;NIEGA MANDAMIENTO DE PAGO;;(110014079001) JUZGADO 001 PENAL MUNICIPAL DE PEQUENAS CAUSAS DE BOGOTA
;;;NO CUMPLE REQUISITOS;;(110013104001) JUZGADO 001 PENAL DEL CIRCUITO DE BOGOTA
;;;NO CUMPLE REQUISITOS;;(052644089001) JUZGADO 001 PROMISCUO MUNICIPAL DE ENTRERRIOS
